PART_NUMBER,PARENT_PART_NUMBER,THUMBNAIL,NAME,PET_TYPES,MANUFACTURER_NAME,PRICE,RATING_AVG,RATING_CNT,CATEGORY_LEVEL1,CATEGORY_LEVEL2,MERCH_CLASSIFICATION1,MERCH_CLASSIFICATION2
246188,246185,"//image.chewy.com/catalog/general/images/fluoxetine-hcl-compounded-capsule-for-dogs-cats-12mg-1-capsule/img-396216,1","Fluoxetine HCl Compounded Capsule for Dogs & Cats, 12-mg, 1 capsule","Dog,Cat,Fish,Horse",Fluoxetine HCl Compounded,0.86,4.4586,133,Pharmacy,Health & Wellness,Healthcare,Pharmacy
258374,258371,"//image.chewy.com/catalog/general/images/the-refined-feline-lotus-69in-cat-tree-smoke/img-536627,1","The Refined Feline Lotus 69-in Cat Tree, Smoke",Cat,The Refined Feline,380.99,4.5474,95,Cat,"Beds, Crates & Gear",Hard Goods,Beds & Furniture
370298,370297,"//image.chewy.com/catalog/general/images/this-and-that-canine-company-north-country-natural-shed-beef-liver-enhanced-split-elk-antler-chew-dog-treat-small/img-366732,1","this and that Canine Company North Country Natural Shed Beef Liver Enhanced Split Elk Antler Chew Dog Treat, Small",Dog,this and that Canine Company,12.99,3,3,Dog,Treats,Dog Consumables,Dog Treats
1453038,1452998,"//image.chewy.com/catalog/general/images/gotags-personalized-with-custom-embroidered-pet-name-round-sofa-orthopedic-bolster-dog-cat-bed-blackblack-medium/img-250109,1","GoTags Personalized with Custom Embroidered Pet Name Round Sofa Orthopedic Bolster Dog & Cat Bed, Black/Black, Medium","Dog,Cat",GoTags,54.95,4,5,Dog,"Beds, Crates & Gear",Hard Goods,Personalized & Gifting
864494,864486,"//image.chewy.com/catalog/general/images/burts-bees-manuka-honey-multipurpose-kelp-dog-wipes-50-count/img-459496,1","Burt's Bees Manuka Honey Multipurpose Kelp Dog Wipes, 50 count",Dog,Burt's Bees,9.99,4.125,8,Dog,Grooming,Hard Goods,Beauty & Grooming
1000105637,1000105625,"//image.chewy.com/ca/catalog/general/images/moe/067d4955-f017-7a2e-8000-9fa8055ba541,1","Dr. Elsey's Clean Tracks Clumping Clay Cat Litter, 18.14-kg bag",Cat,Dr. Elsey's,20.108016,4.1643,1540,Cat,Litter & Accessories,Consumables,Litter
1490190,363644,"//image.chewy.com/catalog/general/images/awoo-marty-martingale-dog-collar-mauve-small-11-5-to-14in-neck-34in-wide/img-693440,1","Awoo Marty Martingale Dog Collar, Mauve, Small: 11.5 to 14-in neck, 3/4-in wide",Dog,Awoo,31.99,4.2063,63,Dog,Leashes & Collars,Hard Goods,"Leashes, Collars & Harnesses"
58579,58578,"//image.chewy.com/catalog/general/images/bravo-bonus-bites-chicken-breast-freeze-dried-dog-treats-3oz-bag/img-373361,1","Bravo! Bonus Bites Chicken Breast Freeze-Dried Dog Treats, 3-oz bag",Dog,Bravo!,13.99,4.4364,55,Dog,Treats,Dog Consumables,Dog Treats
295612,146567,"//image.chewy.com/catalog/general/images/carprofen-generic-caplets-for-dogs-25mg-30-caplets/img-223719,1","Carprofen (Generic) Caplets for Dogs, 25-mg, 30 caplets",Dog,Carprofen,10.2,4.7248,7119,Pharmacy,Health & Wellness,Healthcare,Pharmacy
1000051541,1000051535,"//image.chewy.com/ca/is/image/catalog/1000051541_MAIN,1718292675","KONG Goodie Bone & Rope Dog Toy, X-Small",Dog,KONG,10.768816,3.5912,159,Dog,Toys,Hard Goods,Toys
132254,132253,"//image.chewy.com/catalog/general/images/onetigris-training-nylon-bungee-dog-leash-black-3-875ft-long-1in-wide/img-156763,1","OneTigris Training Nylon Bungee Dog Leash, Black, 3.875-ft long, 1-in wide",Dog,OneTigris,15.99,4.512,209,Dog,Leashes & Collars,Hard Goods,"Leashes, Collars & Harnesses"
993862,993854,"//image.chewy.com/catalog/general/images/lucky-premium-treats-chicken-basted-rawhide-studdys-x-large-dog-chews-2-count/img-515255,1","Lucky Premium Treats Chicken Basted Rawhide Studdys X-Large Dog Chews, 2 count",Dog,Lucky Premium Treats,15.99,,,Dog,Treats,Dog Consumables,Dog Treats
806238,806230,"//image.chewy.com/catalog/general/images/birdie-louie-tuna-papaya-flavored-chunks-in-gravy-canned-cat-food-3oz-case-of-12/img-642748,1","Birdie & Louie Tuna & Papaya Flavored Chunks in Gravy Canned Cat Food, 3-oz, case of 12",Cat,Birdie & Louie,16.76,4.0583,120,Cat,Food,Cat Consumables,Cat Food
234683,234663,"//image.chewy.com/catalog/general/images/majestic-pet-suede-personalized-bagel-cat-dog-bed-rust-x-large/img-178457,1","Majestic Pet Suede Personalized Bagel Cat & Dog Bed, Rust, X-Large","Dog,Cat",Majestic Pet,132.99,4.1667,18,Dog,"Beds, Crates & Gear",Hard Goods,Personalized & Gifting
317934,521102,"//image.chewy.com/catalog/general/images/squishy-face-studio-flirt-pole-v2-with-lure-squeaky-dog-toy-purple-blue-tie-dye-junior/img-175892,1","Squishy Face Studio Flirt Pole V2 with Lure Squeaky Dog Toy, Purple & Blue Tie Dye, Junior",Dog,Squishy Face Studio,27.99,4.4867,452,Dog,Toys,Hard Goods,Toys
